route_id,service_id,trip_id,trip_headsign,shape_id,block_id
502,1712,2164497:546459:553068,Express - Downtown via Bayridge/Front,1516,553068
22,1723,2165260:546460:553159,Innovation / Highway 15,1727,553159
22,1724,2165260:546460:558861,Innovation / Highway 15,1727,558861
601,1708,2168892:546461:549099,Express - Queen's/KGH via CFB Kingston,1358,549099
501,1701,2166414:546462:549105,Express - Cataraqui Centre via Front/Bayridge,1506,549105
15,1723,2164955:546465:552111,Cataraqui Centre,1730,552111
502,1708,2168443:546467:549316,Express - Downtown via Bayridge/Front,1516,549316
7B,1712,2165855:546470:549317,Bus Terminal,1384,549317
7,1708,2168601:546471:553171,Cataraqui Centre,1418,553171
7,1708,2168597:546473:558934,Grant Timmins/Dalton via John Counter Blvd,1385,558934
22,1701,2167202:546475:551959,First Canada via MacCauley,1443,551959
802,1723,2165543:546477:553111,Express - Montreal Street Park & Ride,1312,553111
802,1724,2165543:546477:558897,Express - Montreal Street Park & Ride,1312,558897
501,1708,2168043:546480:549395,Express - Downtown via Princess St,1117,549395
601,1708,2168897:546481:549099,Express - Queen's/KGH via CFB Kingston,1358,549099
501,1712,2165160:546483:549377,Express - Cataraqui Centre via Front/Bayridge,1506,549377
22,1723,2165228:546484:552111,A - First Canada,1438,552111
22,1724,2165228:546484:558768,A - First Canada,1438,558768
502,1708,2168109:546486:549278,Express - Downtown via Bayridge/Front,1516,549278
701,1708,2168984:546490:558853,Express - Cataraqui Centre via Brock/Bath,1377,558853
7,1723,2165055:546491:552097,Grant Timmins/Dalton via John Counter Blvd,1385,552097
7,1724,2165055:546491:558912,Grant Timmins/Dalton via John Counter Blvd,1385,558912
4,1708,2168399:546492:549131,Downtown via Princess St,1169,549131
11,1701,2166992:546494:558827,Cataraqui Centre,1719,558827
502,1712,2164476:546496:549184,Express - Downtown via Bayridge/Front,1516,549184
501,1701,2166391:546497:549105,Express - Cataraqui Centre via Front/Bayridge,1506,549105
801,1708,2168769:546499:558858,Express - Cataraqui Centre via Brock/Bath,1468,558858
4,1701,2167124:546505:549179,Downtown via Princess St,1169,549179
22,1701,2167215:546506:551942,First Canada via MacCauley,1443,551942
501,1701,2166453:546507:549105,Express - Downtown via Princess St,1117,549105
4,1723,2165360:546513:553115,Cataraqui Centre via Princess St,1502,553115
4,1724,2165360:546513:558851,Cataraqui Centre via Princess St,1502,558851
502,1723,2164449:546515:553169,Express - Cataraqui Centre via Princess,1501,553169
502,1724,2164449:546515:558787,Express - Cataraqui Centre via Princess,1501,558787
11,1708,2168311:546516:558842,Cataraqui Centre,1719,558842
701,1723,2165405:546518:553167,Express - Cataraqui Centre via Brock/Bath,1377,553167
701,1724,2165405:546518:558942,Express - Cataraqui Centre via Brock/Bath,1377,558942
4,1701,2167117:546519:549304,Downtown via Princess St,1169,549304
